Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Seiko Presage Style 60's Automatic Sary 269,seiko-presage-style-60s-automatic-sary-269,"<p><strong>Seiko Presage Style 60's Automatic SARY269 — A Love Letter to Japanese Vintage Watchmaking</strong></p><p>The Seiko Presage Style 60's Automatic SARY269 is a stunning tribute to the golden era of Japanese horology. Featuring a rich champagne dial inspired by the Taisho art deco period, this automatic timepiece captures vintage elegance with modern precision. Powered by Seiko's in-house Caliber 4R35 movement with 41-hour power reserve, the SARY269 is water-resistant to 50 meters and fitted with a hardlex mineral crystal. The warm amber-toned dial, paired with a hand-stitched brown leather strap, makes it the perfect statement piece for any occasion.</p><ul><li>Movement: Seiko Caliber 4R35 — Automatic, self-winding</li><li>Power Reserve: 41 hours</li><li>Crystal: Hardlex mineral</li><li>Water Resistance: 50m (5 bar)</li><li>Case Material: Stainless steel</li><li>Case Diameter: 40.5mm</li><li>Strap: Genuine leather, brown</li></ul><p><em>Colección Presage — Where the past inspires the present.</em></p>",Seiko,Jewelry & Watches > Watches,Watch,"Seiko, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,449,549,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_presage_style60s_main.jpg,1,Seiko Presage Style 60's Automatic Sary 269,,FALSE,,,,,,,,,,,,,,,,
,seiko-presage-style-60s-automatic-sary-269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_presage_style60s_secondary.jpg,2,seiko-presage-style-60s-automatic-sary-269 secondary,,,,,,,,,,,,,,,,,,
Seiko 5 Oyster Gray Sunburst,seiko-5-oyster-gray-sunburst,"<p><strong>Seiko 5 Oyster — The Iconic Automatic Built to Last a Lifetime</strong></p><p>The Seiko 5 Oyster is the definitive everyday automatic watch — built for the wrist that never stops moving. Featuring Seiko's legendary Caliber 7S26 self-winding movement with 40-hour power reserve, the watch comes in five sophisticated colorways — Black, Blue, Gray, Silver, and Gold — to match every style and occasion. The day-date window at 3 o'clock adds everyday practicality, while the stainless steel case and bracelet ensure long-lasting durability. Zero batteries. Pure reliability.</p><ul><li>Movement: Seiko Caliber 7S26 — Automatic, self-winding</li><li>Power Reserve: 40 hours</li><li>Crystal: Hardlex mineral</li><li>Water Resistance: 30m (3 bar)</li><li>Case Material: Stainless steel, 37mm</li><li>Bracelet: Stainless steel with fold-over clasp</li><li>Day and date display at 3 o'clock</li><li>Made in Japan</li></ul><p><strong>Available in 5 colorways — select yours above.</strong></p><p><em>No battery. No compromise. Just time, perfectly kept.</em></p>",Seiko,Jewelry & Watches > Watches,Watch,"Seiko, Watch, Timepiece",TRUE,Active,,,Color,Black,,,,,,,,99.9,129,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_main.jpg,1,Seiko 5 Oyster Gray Sunburst,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_main.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-5-oyster-gray-sunburst,,,,,,,,,,,Blue,,,,,,,,99.9,129,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_blue.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-5-oyster-gray-sunburst,,,,,,,,,,,Gray,,,,,,,,99.9,129,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_gray.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-5-oyster-gray-sunburst,,,,,,,,,,,Silver,,,,,,,,99.9,129,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_silver.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-5-oyster-gray-sunburst,,,,,,,,,,,Gold,,,,,,,,99.9,129,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_gold.jpg,FALSE,,,,,,,,,,,,,,,,
,seiko-5-oyster-gray-sunburst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko5_oyster_secondary.jpg,2,seiko-5-oyster-gray-sunburst secondary,,,,,,,,,,,,,,,,,,
Seiko Prospex Land Alpinist,seiko-prospex-land-alpinist,"<p><strong>Seiko Prospex Land Alpinist — Built for the Summit, Worn for Life</strong></p><p>The Seiko Prospex Land Alpinist is engineered for those who conquer mountains. Featuring a distinctive green textured dial with Arabic numeral indexes and a sapphire crystal, this automatic timepiece is powered by Seiko's Caliber 6R35 with an impressive 70-hour power reserve. Water-resistant to 200 meters, encased in stainless steel, and finished with a rich brown leather strap, the Land Alpinist perfectly combines field watch practicality with refined Japanese craftsmanship.</p><ul><li>Movement: Seiko Caliber 6R35 — Automatic, self-winding</li><li>Power Reserve: 70 hours</li><li>Crystal: Sapphire with anti-reflective coating</li><li>Water Resistance: 200m (20 bar)</li><li>Case Material: Stainless steel</li><li>Strap: Brown genuine leather</li><li>Anti-magnetic protection</li></ul><p><em>For those who don't stop at the horizon.</em></p>",Seiko,Jewelry & Watches > Watches,Watch,"Seiko, Watch, Timepiece",TRUE,Active,,,,,,,,,,,,549,699,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_alpinist_main.jpg,1,Seiko Prospex Land Alpinist,,FALSE,,,,,,,,,,,,,,,,
,seiko-prospex-land-alpinist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_alpinist_secondary.jpg,2,seiko-prospex-land-alpinist secondary,,,,,,,,,,,,,,,,,,
Seiko Presage Cocktail Time,seiko-presage-cocktail-time,"<p><strong>Seiko Presage Cocktail Time — When Time Becomes Art</strong></p><p>The Seiko Presage Cocktail Time is a liquid inspiration in watch form — a collection where each timepiece takes its identity from the world's most iconic cocktails. Available in Blue (Blue Moon), Brown (Amber), and Green (Grasshopper), each sunburst dial is a radiant masterpiece of color and light. Powered by the Caliber 4R35 automatic movement with 41-hour power reserve, this watch brings artistry and precision together in perfect harmony. Water-resistant to 50 meters, fitted with a hardlex crystal and a paired leather strap.</p><ul><li>Movement: Seiko Caliber 4R35 — Automatic, self-winding</li><li>Power Reserve: 41 hours</li><li>Crystal: Hardlex mineral</li><li>Water Resistance: 50m (5 bar)</li><li>Case Diameter: 40.5mm — Stainless steel</li><li>Sunray dial finish — Available in Blue, Brown, Green</li><li>Genuine leather strap</li></ul><p><em>Choose your cocktail. Wear your story.</em></p>",Seiko,Jewelry & Watches > Watches,Watch,"Seiko, Watch, Timepiece",TRUE,Active,,,Color,Blue,,,,,,,,399,499,,TRUE,,,,,,,0,DENY,200,g,TRUE,manual,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_cocktail_main.jpg,1,Seiko Presage Cocktail Time,https://raw.githubusercontent.com/SamirLacerda/shopify-watch-images/main/images/seiko_cocktail_main.jpg,FALSE,,,,,,,,,,,,,,,,
